;integrations_themes;integrations_keywords
1556;,app_lib_service;,coursera
1557;platform,app_lib_service;thebe,tmpnb,docker
1558;feature,app_lib_service;pycharm,ides?(\W|$)
1562;feature,language;them(e|ing),R(\W|$),memory
1563;app_lib_service;tex(\W|$)
1564;feature,app_lib_service;sublime,editor,emacs
1565;language;R(\W|$),scala
1566;version,feature;version(ing)?\Wcontrol,database,plugin
1568;version,feature;diff/merge,git(\W|$),collab,history
1574;;
1575;version,feature,app_lib_service;idea,git(\W|$),diffing,terminal,wordpress
1579;feature,app_lib_service;vispy,3d,interactiv(e|ity),web app,plot(ting),co-author
1582;language;R(\W|$)
1583;app_lib_service;pycharm,zeppelin
1587;feature;presentation,table of content
1588;app_lib_service;markdown
1589;version;git(\W|$)
1590;,feature,app_lib_service;,finder,native
1597;feature;3d
1598;app_lib_service;html,mp4,emacs
1600;feature,app_lib_service;vispy,widgets,dashboard,bokeh
1601;,app_lib_service,language;,d3,java
1602;app_lib_service;vim
1603;feature,app_lib_service;vispy,3d,interactiv(e|ity),web app,plot(ting),co-author
1604;feature,language;auto ?complet(e|ion),debug,python(3|2)?,object inspector
1606;version;git(\W|$)
1607;,feature,app_lib_service,language;,latex,scipy,documentation,math
1608;language;R(\W|$)
1609;version,app_lib_service;git(\W|$),(ana)?conda
1616;;
1617;language;bash
1618;feature;interactiv(e|ity),widgets
1620;app_lib_service;spark
1621;,app_lib_service;,d3
1622;,version,app_lib_service;version(ing)?\Wcontrol,,(ana)?conda
1623;feature;editor,debug,spreadsheet
1624;app_lib_service;rise(\W|$)
1626;feature;physics
1629;version,feature,app_lib_service;version(ing)?\Wcontrol,git(\W|$),visuali(s|z)ation,bokeh
1630;app_lib_service;cantor,dill
1635;,feature;,api(\W|$),full screen
1637;feature;variable
1638;,feature;,shortcut,keyboard
1644;feature,app_lib_service,language;java,debug,python(3|2)?,gui
1645;feature,app_lib_service;(ana)?conda,debug,profil(e|ing)
1647;feature,language;management,sql
1650;version;git(\W|$)
1654;version;git(\W|$)
1657;feature,app_lib_service;matplotlib,video,reports,animation
1661;feature;figures
1662;platform,feature,app_lib_service,language;gantt,html,chart(s|ing),google,js,timeline
1668;app_lib_service;mayavi,matplotlib,vtk
1669;app_lib_service,language;latex,bibtex
1672;version,app_lib_service;git(\W|$),vim,emacs
1677;language;sas,R(\W|$)
1681;app_lib_service,language;spark,scala
1683;version,feature;version(ing)?\Wcontrol,writing,ides?(\W|$)
1690;feature;progress
1691;version,language;latex,git(\W|$)
1694;feature;them(e|ing),collaps(e|ing),interactiv(e|ity)
1695;,version,app_lib_service;,git(\W|$),pandas
1697;app_lib_service,language;matplotlib,java
