;roles_roles;roles_keywords
676;scientist;(astro|bio|geo)?physic(s|ist)?
677;developer;software (engineer|architect)
681;student;student,phd
682;developer;develop(er|ment)
689;;
694;financial_analyst;financial (model(er|ing)|analyst)
695;student;student
700;scientist;neuroscientist,^((?!data).)*scientist
706;manager;manager
710;manager,financial_analyst;manager,portfolio (analyst|manager)
711;scientist;^((?!data).)*scientist
712;scientist,engineer;^((?!data).)*scientist,^((?!software).)*engineer
716;developer;programmer
718;scientist;^((?!data).)*scientist
719;data_scientist;data(\s|-)scien(ce|tist)
722;financial_analyst;financial (model(er|ing)|analyst)
725;researcher;research(er)?
729;independent;tinkerer
731;engineer;^((?!software).)*engineer
732;independent;tinkerer
738;scientist;biologi(st|cal)
740;independent;consultant
741;researcher,developer;research(er)?,develop(er|ment)
742;manager;manager
749;student,researcher;student,research(er)?
750;analyst;^((?!(data|financial)).)*analyst
753;data_scientist;data(\s|-)scien(ce|tist)
755;data_scientist;data(\s|-)scien(ce|tist)
756;student,independent;student,consultant
757;tester;test(er|ing)
759;data_scientist;data(\s|-)scien(ce|tist)
763;engineer;^((?!software).)*engineer
765;researcher,developer;r&d($|\W),programmer
766;researcher,engineer;research(er)?,^((?!software).)*engineer
771;data_scientist,engineer;data(\s|-)scien(ce|tist),^((?!software).)*engineer
773;data_scientist;data(\s|-)scien(ce|tist)
780;data_scientist;data(\s|-)scien(ce|tist)
781;developer;develop(er|ment)
785;educator;instructor
786;developer;develop(er|ment)
791;financial_analyst;financial (model(er|ing)|analyst)
798;scientist;neuroscientist,^((?!data).)*scientist
799;engineer;^((?!software).)*engineer
800;developer;develop(er|ment)
803;;
804;student,scientist;student,(astro|bio|geo)?physic(s|ist)?
806;data_scientist;data(\s|-)scien(ce|tist)
808;student;student
814;developer;develop(er|ment)
815;data_scientist;data analys(t|is)
816;financial_analyst;quant($|\W)
821;developer;develop(er|ment)
823;student,researcher,scientist;student,research(er)?,^((?!data).)*scientist
824;data_scientist,scientist;data analys(t|is),(astro|bio|geo)?physic(s|ist)?
828;researcher,data_scientist;research(er)?,machine learning
829;data_scientist;data(\s|-)scien(ce|tist)
830;researcher;research(er)?
835;data_scientist;data(\s|-)scien(ce|tist)
836;student;student
837;data_scientist;data analys(t|is)
838;data_scientist;data(\s|-)scien(ce|tist)
839;student;student,phd
841;;
845;student;student
846;manager;management
849;student;post(\s|-)?doc
851;data_scientist;data(\s|-)scien(ce|tist)
857;independent;technologist
859;developer,data_scientist;software (engineer|architect),data(\s|-)scien(ce|tist)
863;developer;programmer
864;data_scientist;data(\s|-)scien(ce|tist)
865;scientist;biologi(st|cal)
866;researcher;research(er)?
869;data_scientist;data(\s|-)scien(ce|tist)
871;statistician;statistician
872;data_scientist;data(\s|-)scien(ce|tist)
873;scientist,engineer;^((?!data).)*scientist,^((?!software).)*engineer
877;student;student
881;student;student
884;scientist;(astro|bio|geo)?physic(s|ist)?
887;data_scientist;data analys(t|is)
888;student;student
889;data_scientist;data(\s|-)scien(ce|tist)
890;data_scientist;data analys(t|is)
892;scientist;^((?!data).)*scientist
894;data_scientist;data(\s|-)scien(ce|tist)
897;analyst;analytics
898;data_scientist;data(\s|-)scien(ce|tist)
902;student,developer;student,develop(er|ment)
904;developer,data_scientist;develop(er|ment),data(\s|-)scien(ce|tist)
905;student;student
906;data_scientist;data(\s|-)scien(ce|tist)
915;developer;develop(er|ment)
916;tester;test(er|ing)
918;data_scientist;data(\s|-)scien(ce|tist)
919;developer;programmer
922;engineer;^((?!software).)*engineer
926;engineer;^((?!software).)*engineer
931;data_scientist;data(\s|-)scien(ce|tist)
933;scientist;^((?!data).)*scientist
938;data_scientist;data(\s|-)scien(ce|tist)
940;researcher,engineer;research(er)?,^((?!software).)*engineer
947;data_scientist;data(\s|-)scien(ce|tist)
948;researcher;research(er)?
951;data_scientist;data(\s|-)scien(ce|tist)
960;student;student
964;data_scientist;data(\s|-)scien(ce|tist)
966;researcher,data_scientist;research(er)?,machine learning
969;data_scientist;data(\s|-)scien(ce|tist)
970;student,researcher;student,research(er)?
971;presenter;lecturer
972;developer;develop(er|ment)
974;financial_analyst;financial (model(er|ing)|analyst)
979;student,scientist;post(\s|-)?doc,geoscienc(es|tist)
980;developer;software (engineer|architect)
987;developer,data_scientist;programmer,data explorer
994;analyst;^((?!(data|financial)).)*analyst
996;student,scientist;student,phd,(astro|bio|geo)?physic(s|ist)?
998;data_scientist;data analys(t|is)
1000;student;student
1002;developer;develop(er|ment)
1005;manager;cto($|\W)
1008;presenter,analyst;presenter,^((?!(data|financial)).)*analyst
1016;data_scientist;data(\s|-)scien(ce|tist)
1018;educator;educator
1020;data_scientist;data analys(t|is)
1022;developer,analyst;develop(er|ment),analytics
1024;scientist;(astro|bio|geo)?physic(s|ist)?,neuroscientist,^((?!data).)*scientist
1026;developer;software (engineer|architect)
1031;data_scientist;ml($|\W)
1032;student;student
1035;student;student
1040;developer;software (engineer|architect)
1042;data_scientist;data(\s|-)scien(ce|tist)
1045;data_scientist;data(\s|-)scien(ce|tist)
1047;developer;software (engineer|architect)
1048;researcher,scientist;research(er)?,(astro|bio|geo)?physic(s|ist)?
1050;data_scientist;data(\s|-)scien(ce|tist)
1051;student;student
1053;data_scientist;data(\s|-)scien(ce|tist)
1054;scientist;^((?!data).)*scientist
1064;manager;director
1065;data_scientist;data(\s|-)scien(ce|tist)
1066;developer;develop(er|ment)
1067;student;student
1072;student;student
1074;student,data_scientist;student,phd,data(\s|-)scien(ce|tist)
1076;data_scientist;data analys(t|is)
1083;financial_analyst;financial (model(er|ing)|analyst)
1087;student;student
1090;student;student
1093;researcher;research(er)?
1095;student;student,phd
1100;developer,data_scientist;develop(er|ment),machine learning
1102;financial_analyst;financial (model(er|ing)|analyst)
1104;student;student
1106;researcher;research(er)?
1107;engineer;^((?!software).)*engineer
1112;student,engineer;student,^((?!software).)*engineer
1114;student;student
1116;developer;software (engineer|architect)
1118;data_scientist;data(\s|-)scien(ce|tist)
1122;researcher,developer;research(er)?,develop(er|ment)
1124;developer;develop(er|ment)
1125;;
1129;manager,analyst;manager,^((?!(data|financial)).)*analyst
1131;data_scientist;data analys(t|is)
1133;data_scientist;data(\s|-)scien(ce|tist)
1134;engineer;^((?!software).)*engineer
1135;student;student
1139;scientist;(astro|bio|geo)?physic(s|ist)?
1144;researcher,developer;research(er)?,software (engineer|architect)
1145;data_scientist;data(\s|-)scien(ce|tist)
1151;data_scientist;data analys(t|is)
1157;independent;hobby?(ist)?
1159;developer;develop(er|ment)
1161;student;student
1162;student,manager,educator;student,director,teach(er|ing)
1163;independent;independent
1164;data_scientist;data(\s|-)scien(ce|tist)
1166;independent;artist
1169;student,scientist;student,phd,(astro|bio|geo)?physic(s|ist)?
1172;analyst;^((?!(data|financial)).)*analyst
1176;student;student
1178;developer;develop(er|ment)
1179;data_scientist;data(\s|-)scien(ce|tist)
1182;researcher;research(er)?
1183;developer;develop(er|ment)
1184;scientist;^((?!data).)*scientist
1186;researcher;research(er)?
1188;researcher;research(er)?
1192;engineer;^((?!software).)*engineer
1200;developer;software (engineer|architect)
1204;scientist;cosmological
1212;researcher,engineer;research(er)?,^((?!software).)*engineer
1214;data_scientist;data(\s|-)scien(ce|tist)
1218;scientist;bioinformatic(s|ian)
1220;researcher,engineer;research(er)?,^((?!software).)*engineer
1221;statistician;mathematician
1226;data_scientist;data(\s|-)scien(ce|tist)
1230;developer,engineer;develop(er|ment),^((?!software).)*engineer
1233;scientist;neuroscientist,^((?!data).)*scientist
1234;data_scientist;data(\s|-)scien(ce|tist)
1236;scientist;(astro|bio|geo)?physic(s|ist)?
1239;engineer;^((?!software).)*engineer
1241;developer;software (engineer|architect)
1242;student;student
1243;scientist;(astro|bio|geo)?physic(s|ist)?
1247;student;student
1249;data_scientist;data(\s|-)scien(ce|tist)
1253;data_scientist;data(\s|-)scien(ce|tist)
1254;developer;develop(er|ment)
1255;data_scientist;data(\s|-)scien(ce|tist)
1257;student;student
1258;;
1261;student;student
1264;financial_analyst;financial (model(er|ing)|analyst)
1266;developer;software (engineer|architect)
1267;data_scientist;data(\s|-)scien(ce|tist)
1268;scientist;^((?!data).)*scientist
1270;data_scientist;data(\s|-)scien(ce|tist)
1272;engineer;^((?!software).)*engineer
1274;researcher;research(er)?
1277;data_scientist;data(\s|-)scien(ce|tist)
1281;student;student
1282;scientist;neuroscientist,^((?!data).)*scientist
1285;independent;consultant
1287;;
1291;educator;professor
1296;data_scientist;data analys(t|is)
1301;data_scientist;data(\s|-)scien(ce|tist)
1306;developer;develop(er|ment)
1308;data_scientist;data(\s|-)scien(ce|tist)
1314;data_scientist;data(\s|-)scien(ce|tist)
1317;engineer;^((?!software).)*engineer
1323;developer;software (engineer|architect)
1324;data_scientist;data analys(t|is)
1325;independent;consultant
1332;data_scientist;data(\s|-)scien(ce|tist)
1333;researcher,scientist;research(er)?,^((?!data).)*scientist
1334;researcher,educator;research(er)?,teach(er|ing)
1335;scientist;ecologi(st|cal)
1337;data_scientist;data(\s|-)scien(ce|tist)
1342;developer;software (engineer|architect)
1343;educator;educator
1347;data_scientist;data analys(t|is)
1350;engineer;^((?!software).)*engineer
1354;data_scientist;data(\s|-)scien(ce|tist)
1355;data_scientist;data(\s|-)scien(ce|tist)
1356;scientist;(astro|bio|geo)?physic(s|ist)?
1359;researcher;research(er)?
1360;engineer;^((?!software).)*engineer
1363;student,developer;student,develop(er|ment)
1364;scientist;(astro|bio|geo)?physic(s|ist)?
1366;student,researcher,financial_analyst;student,research(er)?,financial (model(er|ing)|analyst)
1368;data_scientist;data analys(t|is)
1369;data_scientist;machine learning
1370;researcher;research(er)?
1371;researcher;research(er)?
1372;presenter;demonstrator
1375;data_scientist;data(\s|-)scien(ce|tist)
1378;scientist;(astro|bio|geo)?physic(s|ist)?
1379;;
1381;scientist;neuroscientist,^((?!data).)*scientist
1382;researcher,scientist;research(er)?,(astro|bio|geo)?physic(s|ist)?
1383;researcher,scientist;research(er)?,^((?!data).)*scientist
1384;engineer;^((?!software).)*engineer
1389;data_scientist;data(\s|-)scien(ce|tist)
1390;data_scientist;data analys(t|is)
1393;data_scientist;data(\s|-)scien(ce|tist)
1395;developer;software (engineer|architect)
1400;developer;develop(er|ment)
1402;data_scientist;data(\s|-)scien(ce|tist)
1406;financial_analyst;financial (model(er|ing)|analyst)
1408;data_scientist;data explorer
1409;data_scientist;data(\s|-)scien(ce|tist)
1412;marketer;market(er|ing)
1415;data_scientist;data analys(t|is)
1416;data_scientist;data(\s|-)scien(ce|tist)
1417;data_scientist;data(\s|-)scien(ce|tist)
1419;;
1420;data_scientist;data(\s|-)scien(ce|tist)
1421;data_scientist,statistician;data(\s|-)scien(ce|tist),statistician
1425;data_scientist;data(\s|-)scien(ce|tist)
1426;data_scientist;data(\s|-)scien(ce|tist)
1427;data_scientist,analyst;data analys(t|is),analytics
1428;data_scientist;data(\s|-)scien(ce|tist)
1431;student,engineer;student,^((?!software).)*engineer
1432;analyst;^((?!(data|financial)).)*analyst
1434;data_scientist;data(\s|-)scien(ce|tist)
